seq,recv_bytes,latency_us,recv_ns
639,512,45,824947739325256
640,512,76,824947740668021
641,512,86,824947742017228
642,512,130,824947743433421
643,512,126,824947744786100
644,512,124,824947746114869
645,512,139,824947747485085
646,512,127,824947748825529
647,512,125,824947750178184
648,512,122,824947751566398
649,512,132,824947752934978
650,512,124,824947754289483
651,512,133,824947755628764
652,512,140,824947756958367
653,512,131,824947758307830
654,512,126,824947759672335
655,512,131,824947760919133
656,512,81,824947762213534
657,512,80,824947763461048
658,512,98,824947764806263
659,512,81,824947766121921
660,512,133,824947767500316
661,512,104,824947768834221
662,512,101,824947770184301
663,512,149,824947771599244
664,512,130,824947772967106
665,512,128,824947774349793
666,512,130,824947775718239
667,512,133,824947777078992
668,512,147,824947778500989
669,512,128,824947779852154
670,512,117,824947780992417
671,512,126,824947782365184
672,512,126,824947783720815
673,512,127,824947785076418
674,512,127,824947786432230
675,512,126,824947787786836
676,512,138,824947789081228
677,512,132,824947790352393
678,512,129,824947791496662
679,512,136,824947792741542
680,512,132,824947794092049
681,512,135,824947795491986
682,512,123,824947796861261
683,512,130,824947798221696
684,512,124,824947799606038
685,512,132,824947800970327
686,512,128,824947802325281
687,512,127,824947803678896
688,512,145,824947805045088
689,512,99,824947806417752
690,512,83,824947807633890
691,512,88,824947808970408
692,512,99,824947810326192
693,512,99,824947811675363
694,512,105,824947813043471
695,512,77,824947814404502
696,512,99,824947815777345
697,512,80,824947817091650
698,512,119,824947818459920
699,512,120,824947819820525
700,512,120,824947821194806
701,512,93,824947822336246
702,512,131,824947823734770
703,512,132,824947825106931
704,512,187,824947826362364
705,512,136,824947827496717
706,512,98,824947828831900
707,512,83,824947830140701
708,512,84,824947831378248
709,512,101,824947832727720
710,512,102,824947834079878
711,512,90,824947835458917
712,512,76,824947836539515
713,512,82,824947837832839
714,512,110,824947838988936
715,512,137,824947840338621
716,512,136,824947841707457
717,512,112,824947843060557
718,512,126,824947844433501
719,512,91,824947845524692
720,512,81,824947846781173
721,512,103,824947848135200
722,512,100,824947849483633
723,512,102,824947850833322
724,512,102,824947852183079
725,512,106,824947853458609
726,512,77,824947854581391
727,512,76,824947855719680
728,512,86,824947857113503
729,512,108,824947858463831
730,512,112,824947859823410
